# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Nov 13 03:38:56 2024
# Radiative transfer took 21.076 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2
1.601440000e+00 9.84270e-01 9.94400e-01 9.89815e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00
1.601450000e+00 9.82689e-01 9.94083e-01 9.88540e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00
1.601460000e+00 9.79017e-01 9.92691e-01 9.86226e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.601470000e+00 9.73341e-01 9.92588e-01 9.80612e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.601480000e+00 9.75908e-01 9.94710e-01 9.81099e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.601490000e+00 9.75198e-01 9.96284e-01 9.78837e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.601500000e+00 9.70835e-01 9.97215e-01 9.73547e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.601510000e+00 9.62283e-01 9.97770e-01 9.64435e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.601520000e+00 9.46516e-01 9.98119e-01 9.48301e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.601530000e+00 9.15351e-01 9.98349e-01 9.16866e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.601540000e+00 8.45031e-01 9.98486e-01 8.46314e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.601550000e+00 6.58905e-01 9.98539e-01 6.59870e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
